iter	Passed	Remaining
0	6	9409
1	12	9689
2	17	9260
3	23	9117
4	30	9395
5	37	9717
6	44	9730
7	49	9588
8	55	9429
9	61	9413
10	66	9332
11	72	9250
12	78	9252
13	83	9184
14	89	9120
15	94	9078
16	100	9055
17	105	8997
18	110	8924
19	115	8866
20	121	8820
21	126	8765
22	131	8706
23	136	8667
24	141	8628
25	146	8600
26	151	8564
27	157	8539
28	162	8509
29	167	8480
30	172	8473
31	178	8451
32	183	8427
33	189	8439
34	195	8445
35	200	8439
36	206	8454
37	213	8481
38	218	8463
39	223	8452
40	229	8438
41	234	8424
42	240	8411
43	245	8398
44	250	8393
45	256	8380
46	261	8362
47	266	8353
48	271	8332
49	277	8315
50	282	8309
51	287	8287
52	292	8275
53	298	8258
54	303	8242
55	308	8222
56	313	8206
57	318	8192
58	323	8180
59	328	8165
60	334	8153
61	339	8140
62	344	8126
63	349	8116
64	354	8100
65	359	8090
66	365	8093
67	371	8088
68	377	8096
69	383	8102
70	388	8102
71	395	8114
72	401	8121
73	406	8110
74	412	8107
75	417	8094
76	422	8079
77	427	8067
78	432	8055
79	437	8045
80	443	8042
81	448	8032
82	453	8019
83	458	8004
84	463	7989
85	468	7976
86	473	7966
87	478	7953
88	483	7940
89	488	7931
90	493	7919
91	498	7907
92	504	7896
93	508	7883
94	514	7873
95	519	7863
96	524	7852
97	529	7840
98	534	7833
99	539	7823
100	544	7813
101	549	7806
102	555	7798
103	560	7789
104	565	7783
105	571	7786
106	577	7787
107	582	7781
108	588	7782
109	594	7787
110	600	7779
111	605	7773
112	610	7765
113	615	7758
114	621	7749
115	626	7741
116	631	7734
117	636	7726
118	641	7716
119	646	7709
120	652	7700
121	657	7690
122	661	7679
123	667	7671
124	672	7663
125	677	7655
126	682	7647
127	687	7641
128	692	7632
129	697	7623
130	702	7614
131	707	7604
132	713	7598
133	718	7592
134	723	7582
135	728	7575
136	733	7567
137	738	7560
138	744	7553
139	749	7545
140	754	7537
141	759	7530
142	765	7531
143	771	7529
144	776	7525
145	782	7524
146	788	7523
147	793	7517
148	799	7519
149	805	7516
150	810	7511
151	816	7511
152	822	7509
153	828	7513
154	834	7510
155	839	7503
156	845	7498
157	850	7492
158	855	7484
159	860	7477
160	865	7469
161	870	7462
162	876	7456
163	881	7452
164	887	7446
165	892	7438
166	897	7430
167	902	7422
168	907	7415
169	912	7407
170	917	7400
171	922	7392
172	927	7384
173	932	7377
174	937	7369
175	943	7363
176	948	7355
177	953	7350
178	961	7363
179	967	7367
180	975	7377
181	982	7385
182	989	7394
183	996	7398
184	1004	7415
185	1011	7415
186	1017	7415
187	1023	7415
188	1028	7408
189	1034	7401
190	1039	7393
191	1044	7385
192	1049	7378
193	1054	7372
194	1059	7363
195	1064	7356
196	1070	7350
197	1075	7342
198	1080	7335
199	1085	7328
200	1090	7321
201	1096	7313
202	1101	7307
203	1106	7303
204	1112	7299
205	1117	7292
206	1123	7287
207	1128	7280
208	1133	7274
209	1138	7267
210	1143	7259
211	1149	7256
212	1155	7255
213	1161	7251
214	1167	7246
215	1173	7244
216	1178	7239
217	1184	7235
218	1189	7227
219	1195	7226
220	1200	7221
221	1206	7217
222	1212	7213
223	1217	7206
224	1222	7200
225	1227	7193
226	1233	7186
227	1238	7180
228	1243	7172
229	1248	7166
230	1254	7162
231	1259	7155
232	1264	7148
233	1269	7141
234	1275	7134
235	1280	7129
236	1285	7121
237	1290	7114
238	1295	7106
239	1300	7099
240	1306	7094
241	1311	7088
242	1316	7080
243	1321	7074
244	1326	7066
245	1331	7060
246	1336	7052
247	1343	7050
248	1348	7045
249	1354	7041
250	1359	7037
251	1365	7035
252	1371	7029
253	1377	7026
254	1382	7019
255	1387	7012
256	1392	7007
257	1398	7000
258	1403	6994
259	1408	6987
260	1413	6980
261	1418	6973
262	1424	6968
263	1429	6963
264	1434	6956
265	1439	6950
266	1445	6944
267	1450	6937
268	1455	6930
269	1460	6923
270	1465	6918
271	1470	6910
272	1476	6904
273	1481	6898
274	1486	6892
275	1492	6887
276	1497	6881
277	1502	6874
278	1507	6868
279	1512	6862
280	1518	6855
281	1523	6848
282	1528	6842
283	1534	6840
284	1540	6835
285	1546	6833
286	1552	6830
287	1557	6825
288	1562	6818
289	1567	6812
290	1573	6805
291	1578	6798
292	1583	6792
293	1588	6785
294	1593	6779
295	1598	6774
296	1604	6769
297	1609	6763
298	1614	6757
299	1620	6750
300	1625	6743
301	1630	6737
302	1635	6731
303	1640	6723
304	1645	6716
305	1650	6710
306	1655	6704
307	1660	6697
308	1665	6690
309	1671	6684
310	1676	6678
311	1681	6672
312	1686	6665
313	1691	6659
314	1696	6652
315	1701	6645
316	1706	6639
317	1712	6632
318	1717	6626
319	1722	6621
320	1728	6619
321	1734	6615
322	1740	6610
323	1745	6605
324	1750	6599
325	1755	6592
326	1761	6588
327	1766	6582
328	1771	6575
329	1777	6570
330	1782	6563
331	1787	6556
332	1794	6556
333	1799	6552
334	1805	6547
335	1810	6541
336	1815	6535
337	1820	6529
338	1826	6523
339	1831	6517
340	1836	6511
341	1841	6505
342	1846	6499
343	1852	6493
344	1857	6487
345	1862	6480
346	1867	6474
347	1872	6467
348	1877	6460
349	1882	6453
350	1887	6448
351	1892	6441
352	1897	6434
353	1903	6430
354	1909	6427
355	1914	6422
356	1921	6420
357	1926	6414
358	1931	6408
359	1937	6403
360	1942	6396
361	1947	6390
362	1952	6385
363	1958	6380
364	1963	6375
365	1969	6371
366	1974	6365
367	1979	6359
368	1985	6354
369	1990	6348
370	1995	6341
371	2001	6336
372	2006	6330
373	2011	6324
374	2016	6318
375	2021	6312
376	2026	6306
377	2031	6300
378	2037	6294
379	2042	6287
380	2047	6281
381	2052	6275
382	2057	6268
383	2062	6262
384	2067	6256
385	2072	6250
386	2077	6244
387	2083	6238
388	2088	6232
389	2094	6229
390	2100	6224
391	2106	6221
392	2111	6216
393	2117	6211
394	2122	6205
395	2127	6199
396	2132	6193
397	2137	6187
398	2143	6182
399	2148	6176
400	2153	6170
401	2158	6164
402	2163	6158
403	2168	6151
404	2173	6145
405	2179	6139
406	2184	6133
407	2189	6127
408	2194	6122
409	2199	6115
410	2204	6110
411	2209	6103
412	2214	6097
413	2219	6091
414	2225	6085
415	2230	6079
416	2235	6072
417	2240	6067
418	2245	6061
419	2250	6055
420	2255	6049
421	2260	6043
422	2265	6036
423	2270	6030
424	2276	6025
425	2282	6022
426	2288	6018
427	2294	6014
428	2299	6008
429	2304	6003
430	2310	5998
431	2315	5991
432	2320	5985
433	2326	5981
434	2331	5976
435	2337	5971
436	2342	5965
437	2347	5959
438	2352	5952
439	2357	5946
440	2362	5940
441	2367	5934
442	2372	5928
443	2377	5922
444	2382	5916
445	2387	5910
446	2392	5904
447	2398	5899
448	2403	5894
449	2409	5888
450	2414	5882
451	2419	5876
452	2424	5870
453	2429	5865
454	2434	5859
455	2439	5853
456	2445	5848
457	2450	5843
458	2455	5837
459	2460	5831
460	2466	5825
461	2471	5820
462	2476	5814
463	2482	5810
464	2488	5805
465	2493	5801
466	2499	5797
467	2505	5791
468	2510	5785
469	2515	5780
470	2520	5774
471	2526	5769
472	2531	5764
473	2536	5758
474	2541	5752
475	2547	5746
476	2552	5741
477	2558	5736
478	2563	5732
479	2569	5726
480	2574	5721
481	2579	5715
482	2584	5709
483	2589	5704
484	2595	5699
485	2600	5693
486	2605	5687
487	2610	5682
488	2616	5676
489	2621	5671
490	2626	5665
491	2632	5659
492	2637	5653
493	2642	5647
494	2647	5642
495	2652	5637
496	2657	5631
497	2663	5625
498	2668	5620
499	2674	5616
500	2680	5612
501	2685	5607
502	2692	5603
503	2697	5598
504	2702	5592
505	2708	5587
506	2713	5581
507	2718	5576
508	2723	5570
509	2729	5565
510	2734	5559
511	2739	5553
512	2744	5547
513	2749	5541
514	2754	5536
515	2759	5530
516	2765	5525
517	2770	5519
518	2775	5513
519	2780	5507
520	2786	5502
521	2791	5497
522	2797	5493
523	2802	5488
524	2808	5482
525	2814	5478
526	2819	5473
527	2825	5468
528	2831	5464
529	2836	5458
530	2841	5453
531	2846	5447
532	2852	5442
533	2857	5436
534	2863	5432
535	2868	5427
536	2874	5423
537	2880	5418
538	2885	5412
539	2890	5407
540	2896	5401
541	2901	5396
542	2906	5390
543	2912	5385
544	2917	5379
545	2922	5374
546	2927	5367
547	2932	5362
548	2937	5356
549	2942	5350
550	2947	5344
551	2952	5338
552	2957	5332
553	2962	5326
554	2967	5320
555	2972	5314
556	2978	5309
557	2983	5303
558	2988	5297
559	2993	5292
560	2998	5286
561	3003	5280
562	3009	5275
563	3014	5269
564	3019	5264
565	3024	5258
566	3029	5252
567	3034	5247
568	3040	5241
569	3046	5237
570	3051	5231
571	3057	5227
572	3063	5222
573	3068	5217
574	3073	5211
575	3078	5206
576	3084	5201
577	3089	5195
578	3094	5189
579	3100	5184
580	3105	5178
581	3110	5173
582	3115	5168
583	3120	5162
584	3126	5156
585	3131	5151
586	3136	5145
587	3141	5139
588	3146	5134
589	3152	5128
590	3157	5123
591	3162	5118
592	3168	5112
593	3173	5106
594	3178	5101
595	3183	5095
596	3188	5090
597	3194	5085
598	3199	5079
599	3204	5073
600	3209	5067
601	3214	5061
602	3220	5057
603	3226	5052
604	3232	5049
605	3237	5043
606	3243	5038
607	3248	5032
608	3253	5027
609	3258	5021
610	3263	5015
611	3269	5010
612	3274	5005
613	3279	4999
614	3284	4993
615	3289	4988
616	3295	4982
617	3300	4977
618	3305	4971
619	3310	4966
620	3316	4961
621	3321	4956
622	3327	4951
623	3332	4945
624	3337	4940
625	3343	4934
626	3348	4929
627	3353	4924
628	3359	4918
629	3364	4913
630	3370	4908
631	3375	4903
632	3381	4898
633	3386	4892
634	3391	4887
635	3397	4882
636	3402	4876
637	3407	4871
638	3413	4866
639	3419	4861
640	3425	4857
641	3431	4852
642	3436	4847
643	3441	4842
644	3447	4837
645	3452	4831
646	3457	4825
647	3463	4820
648	3468	4814
649	3473	4809
650	3478	4803
651	3483	4797
652	3488	4791
653	3493	4786
654	3498	4780
655	3504	4775
656	3509	4770
657	3514	4764
658	3520	4759
659	3525	4753
660	3530	4748
661	3535	4742
662	3541	4737
663	3546	4731
664	3551	4726
665	3556	4721
666	3562	4715
667	3567	4709
668	3572	4704
669	3577	4699
670	3582	4693
671	3588	4688
672	3593	4682
673	3598	4677
674	3603	4671
675	3610	4667
676	3615	4662
677	3622	4658
678	3627	4653
679	3632	4648
680	3638	4642
681	3643	4637
682	3648	4631
683	3653	4625
684	3658	4620
685	3663	4614
686	3669	4609
687	3674	4603
688	3679	4597
689	3684	4592
690	3689	4586
691	3694	4581
692	3700	4575
693	3705	4570
694	3710	4564
695	3715	4558
696	3720	4553
697	3725	4547
698	3730	4542
699	3736	4536
700	3741	4531
701	3747	4526
702	3752	4521
703	3757	4515
704	3763	4510
705	3768	4504
706	3773	4499
707	3778	4493
708	3783	4487
709	3788	4482
710	3794	4477
711	3800	4472
712	3805	4467
713	3811	4462
714	3817	4457
715	3822	4452
716	3827	4446
717	3833	4441
718	3838	4436
719	3843	4430
720	3848	4425
721	3853	4419
722	3859	4414
723	3864	4408
724	3869	4403
725	3874	4397
726	3879	4391
727	3884	4386
728	3889	4380
729	3895	4375
730	3900	4369
731	3905	4364
732	3910	4358
733	3915	4353
734	3921	4347
735	3926	4342
736	3931	4336
737	3936	4331
738	3941	4325
739	3946	4320
740	3951	4314
741	3957	4309
742	3962	4303
743	3967	4297
744	3972	4292
745	3977	4286
746	3982	4281
747	3988	4276
748	3993	4271
749	3999	4266
750	4005	4261
751	4011	4256
752	4016	4250
753	4021	4245
754	4026	4239
755	4032	4234
756	4037	4229
757	4042	4224
758	4047	4218
759	4053	4213
760	4058	4207
761	4063	4202
762	4068	4196
763	4073	4190
764	4078	4185
765	4083	4179
766	4088	4174
767	4094	4168
768	4099	4163
769	4104	4157
770	4109	4151
771	4114	4146
772	4120	4141
773	4125	4136
774	4130	4130
775	4135	4124
776	4140	4119
777	4145	4113
778	4151	4108
779	4156	4103
780	4161	4098
781	4167	4092
782	4172	4087
783	4177	4081
784	4183	4076
785	4189	4071
786	4194	4066
787	4200	4061
788	4205	4056
789	4211	4051
790	4216	4045
791	4221	4040
792	4227	4035
793	4232	4029
794	4237	4024
795	4242	4018
796	4247	4013
797	4253	4008
798	4258	4002
799	4264	3997
800	4269	3992
801	4274	3987
802	4280	3981
803	4285	3976
804	4290	3970
805	4295	3964
806	4300	3959
807	4305	3953
808	4310	3948
809	4315	3942
810	4320	3937
811	4325	3931
812	4330	3926
813	4335	3920
814	4341	3914
815	4346	3909
816	4351	3903
817	4357	3899
818	4363	3894
819	4369	3889
820	4375	3885
821	4380	3879
822	4386	3875
823	4392	3870
824	4398	3865
825	4403	3859
826	4409	3855
827	4414	3849
828	4420	3844
829	4426	3839
830	4431	3834
831	4437	3829
832	4442	3824
833	4448	3819
834	4454	3814
835	4459	3808
836	4464	3803
837	4470	3797
838	4475	3792
839	4480	3787
840	4485	3781
841	4490	3776
842	4495	3770
843	4501	3765
844	4506	3759
845	4511	3754
846	4516	3748
847	4521	3743
848	4527	3738
849	4532	3732
850	4537	3727
851	4543	3722
852	4548	3716
853	4555	3712
854	4560	3706
855	4565	3701
856	4571	3696
857	4576	3690
858	4581	3685
859	4586	3679
860	4591	3674
861	4596	3668
862	4601	3663
863	4607	3657
864	4612	3652
865	4617	3646
866	4622	3641
867	4627	3636
868	4633	3630
869	4638	3625
870	4643	3619
871	4648	3614
872	4653	3608
873	4659	3603
874	4664	3598
875	4669	3592
876	4675	3587
877	4680	3582
878	4685	3576
879	4691	3571
880	4696	3566
881	4701	3560
882	4706	3555
883	4711	3549
884	4716	3544
885	4721	3538
886	4727	3533
887	4733	3528
888	4739	3523
889	4744	3518
890	4750	3513
891	4755	3507
892	4760	3502
893	4765	3497
894	4771	3491
895	4776	3486
896	4781	3480
897	4786	3475
898	4791	3469
899	4796	3464
900	4802	3459
901	4807	3454
902	4813	3448
903	4818	3443
904	4824	3438
905	4829	3433
906	4835	3427
907	4840	3422
908	4846	3417
909	4852	3412
910	4857	3407
911	4863	3402
912	4868	3397
913	4874	3391
914	4879	3386
915	4884	3380
916	4889	3375
917	4894	3369
918	4899	3364
919	4905	3359
920	4911	3354
921	4916	3349
922	4923	3344
923	4928	3338
924	4933	3333
925	4938	3328
926	4943	3322
927	4949	3317
928	4954	3311
929	4959	3306
930	4964	3300
931	4969	3295
932	4974	3289
933	4980	3284
934	4985	3279
935	4990	3273
936	4995	3268
937	5000	3262
938	5005	3257
939	5010	3251
940	5015	3246
941	5021	3240
942	5026	3235
943	5031	3230
944	5036	3224
945	5042	3219
946	5047	3213
947	5052	3208
948	5057	3202
949	5062	3197
950	5068	3192
951	5073	3186
952	5078	3181
953	5084	3176
954	5089	3171
955	5095	3165
956	5101	3161
957	5107	3155
958	5112	3150
959	5117	3145
960	5123	3139
961	5128	3134
962	5133	3129
963	5138	3123
964	5143	3118
965	5149	3112
966	5154	3107
967	5159	3102
968	5164	3096
969	5169	3091
970	5175	3086
971	5180	3080
972	5185	3075
973	5190	3069
974	5196	3064
975	5201	3058
976	5206	3053
977	5211	3048
978	5216	3042
979	5221	3037
980	5227	3031
981	5232	3026
982	5237	3020
983	5242	3015
984	5247	3010
985	5252	3004
986	5258	2999
987	5263	2993
988	5269	2989
989	5275	2983
990	5280	2978
991	5286	2973
992	5292	2968
993	5297	2963
994	5303	2958
995	5308	2952
996	5314	2947
997	5319	2942
998	5325	2937
999	5330	2931
1000	5335	2926
1001	5341	2921
1002	5346	2915
1003	5351	2910
1004	5356	2904
1005	5361	2899
1006	5366	2893
1007	5372	2888
1008	5377	2883
1009	5382	2877
1010	5387	2872
1011	5392	2866
1012	5397	2861
1013	5402	2856
1014	5408	2850
1015	5413	2845
1016	5419	2840
1017	5424	2834
1018	5429	2829
1019	5434	2823
1020	5439	2818
1021	5445	2813
1022	5451	2808
1023	5457	2803
1024	5462	2798
1025	5469	2793
1026	5474	2787
1027	5479	2782
1028	5484	2777
1029	5490	2771
1030	5495	2766
1031	5500	2761
1032	5506	2756
1033	5512	2750
1034	5517	2745
1035	5522	2740
1036	5528	2734
1037	5533	2729
1038	5538	2724
1039	5544	2719
1040	5550	2713
1041	5555	2708
1042	5561	2703
1043	5566	2697
1044	5571	2692
1045	5576	2687
1046	5582	2681
1047	5586	2676
1048	5592	2670
1049	5597	2665
1050	5602	2660
1051	5607	2654
1052	5612	2649
1053	5617	2643
1054	5622	2638
1055	5629	2633
1056	5634	2628
1057	5640	2623
1058	5645	2617
1059	5651	2612
1060	5657	2607
1061	5662	2601
1062	5667	2596
1063	5672	2591
1064	5678	2585
1065	5683	2580
1066	5688	2574
1067	5693	2569
1068	5698	2564
1069	5703	2558
1070	5709	2553
1071	5714	2547
1072	5719	2542
1073	5724	2537
1074	5730	2531
1075	5735	2526
1076	5740	2521
1077	5746	2515
1078	5751	2510
1079	5756	2505
1080	5761	2499
1081	5766	2494
1082	5772	2489
1083	5777	2483
1084	5783	2478
1085	5788	2472
1086	5793	2467
1087	5798	2462
1088	5804	2456
1089	5810	2452
1090	5815	2446
1091	5822	2441
1092	5827	2436
1093	5832	2431
1094	5837	2425
1095	5842	2420
1096	5847	2414
1097	5853	2409
1098	5858	2404
1099	5863	2398
1100	5868	2393
1101	5873	2387
1102	5878	2382
1103	5884	2377
1104	5889	2371
1105	5894	2366
1106	5899	2360
1107	5904	2355
1108	5909	2350
1109	5915	2344
1110	5920	2339
1111	5925	2334
1112	5931	2328
1113	5936	2323
1114	5941	2317
1115	5946	2312
